2025-07-20 15:29:05.083 | INFO     | src.retrieval:extract:35 - Extracted ./local_knowledge/07_Reinforcement_Learning/2020 (JD) (SIGIR) [NICF] Neural Interactive Collaborative Filtering.pdf.
2025-07-20 15:29:10.991 | INFO     | src.embedding:load:27 - Loaded EmbeddingModel: ../models/Qwen/Qwen3-Embedding-0.6B on mps
2025-07-20 15:29:23.103 | INFO     | src.retrieval:_build:136 - Index built 0/461:./local_knowledge/07_Reinforcement_Learning/2020 (JD) (SIGIR) [NICF] Neural Interactive Collaborative Filtering.pdf.
2025-07-20 15:29:23.534 | INFO     | src.retrieval:extract:35 - Extracted ./local_knowledge/07_Reinforcement_Learning/2019 (Google) (IJCAI) *[SlateQ] SLATEQ - A Tractable Decomposition for Reinforcement Learning with Recommendation Sets.pdf.
2025-07-20 15:29:31.251 | INFO     | src.retrieval:_build:136 - Index built 1/461:./local_knowledge/07_Reinforcement_Learning/2019 (Google) (IJCAI) *[SlateQ] SLATEQ - A Tractable Decomposition for Reinforcement Learning with Recommendation Sets.pdf.
2025-07-20 15:29:31.633 | INFO     | src.retrieval:extract:35 - Extracted ./local_knowledge/07_Reinforcement_Learning/2019 (Sigweb) Deep Reinforcement Learning for Search, Recommendation, and Online Advertising - A Survey.pdf.
2025-07-20 15:29:43.262 | INFO     | src.retrieval:_build:136 - Index built 2/461:./local_knowledge/07_Reinforcement_Learning/2019 (Sigweb) Deep Reinforcement Learning for Search, Recommendation, and Online Advertising - A Survey.pdf.
2025-07-20 15:29:44.100 | INFO     | src.retrieval:extract:35 - Extracted ./local_knowledge/07_Reinforcement_Learning/2010 (Yahoo) (WWW) [LinUCB] A Contextual-Bandit Approach to Personalized News Article Recommendation.pdf.
2025-07-20 15:29:57.095 | INFO     | src.retrieval:_build:136 - Index built 3/461:./local_knowledge/07_Reinforcement_Learning/2010 (Yahoo) (WWW) [LinUCB] A Contextual-Bandit Approach to Personalized News Article Recommendation.pdf.
2025-07-20 15:29:57.608 | INFO     | src.retrieval:extract:35 - Extracted ./local_knowledge/07_Reinforcement_Learning/2019 (Google) (WSDM) *[Top-K Off-Policy] Top-K Off-Policy Correction for a REINFORCE Recommender System.pdf.
2025-07-20 15:30:08.797 | INFO     | src.retrieval:_build:136 - Index built 4/461:./local_knowledge/07_Reinforcement_Learning/2019 (Google) (WSDM) *[Top-K Off-Policy] Top-K Off-Policy Correction for a REINFORCE Recommender System.pdf.
2025-07-20 15:30:11.989 | INFO     | src.retrieval:extract:35 - Extracted ./local_knowledge/07_Reinforcement_Learning/2018 (Spotify) (Recsys) [Spotify Bandit] Explore, Exploit, and Explain Personalizing Explainable Recommendations with Bandits.pdf.
2025-07-20 15:30:21.770 | INFO     | src.retrieval:_build:136 - Index built 5/461:./local_knowledge/07_Reinforcement_Learning/2018 (Spotify) (Recsys) [Spotify Bandit] Explore, Exploit, and Explain Personalizing Explainable Recommendations with Bandits.pdf.
2025-07-20 15:30:22.414 | INFO     | src.retrieval:extract:35 - Extracted ./local_knowledge/07_Reinforcement_Learning/2018 [Microsoft] (WWW) [DRN] DRN - A Deep Reinforcement Learning Framework for News Recommendation.pdf.
2025-07-20 15:30:33.512 | INFO     | src.retrieval:_build:136 - Index built 6/461:./local_knowledge/07_Reinforcement_Learning/2018 [Microsoft] (WWW) [DRN] DRN - A Deep Reinforcement Learning Framework for News Recommendation.pdf.
2025-07-20 15:30:34.193 | INFO     | src.retrieval:extract:35 - Extracted ./local_knowledge/07_Reinforcement_Learning/2020 (Bytedance) (KDD) [RAM] Jointly Learning to Recommend and Advertise.pdf.
2025-07-20 15:30:45.749 | INFO     | src.retrieval:_build:136 - Index built 7/461:./local_knowledge/07_Reinforcement_Learning/2020 (Bytedance) (KDD) [RAM] Jointly Learning to Recommend and Advertise.pdf.
2025-07-20 15:30:46.426 | INFO     | src.retrieval:extract:35 - Extracted ./local_knowledge/03_Ranking/Delayed-Feedback-Problem/2021 (Alibaba) (Arxiv) [Defer] Real Negatives Matter - Continuous Training with Real Negatives for Delayed Feedback Modeling.pdf.
2025-07-20 15:30:57.931 | INFO     | src.retrieval:_build:136 - Index built 8/461:./local_knowledge/03_Ranking/Delayed-Feedback-Problem/2021 (Alibaba) (Arxiv) [Defer] Real Negatives Matter - Continuous Training with Real Negatives for Delayed Feedback Modeling.pdf.
2025-07-20 15:30:58.272 | INFO     | src.retrieval:extract:35 - Extracted ./local_knowledge/03_Ranking/Delayed-Feedback-Problem/2020 (AdKDD) Delayed Feedback Model with Negative Binomial Regression for Multiple Conversions.pdf.
2025-07-20 15:31:07.022 | INFO     | src.retrieval:_build:136 - Index built 9/461:./local_knowledge/03_Ranking/Delayed-Feedback-Problem/2020 (AdKDD) Delayed Feedback Model with Negative Binomial Regression for Multiple Conversions.pdf.
2025-07-20 15:31:07.320 | INFO     | src.retrieval:extract:35 - Extracted ./local_knowledge/03_Ranking/Delayed-Feedback-Problem/2021 (Google) (Arxiv) Handling many conversions per click in modeling delayed feedback.pdf.
2025-07-20 15:31:16.480 | INFO     | src.retrieval:_build:136 - Index built 10/461:./local_knowledge/03_Ranking/Delayed-Feedback-Problem/2021 (Google) (Arxiv) Handling many conversions per click in modeling delayed feedback.pdf.
2025-07-20 15:31:17.325 | INFO     | src.retrieval:extract:35 - Extracted ./local_knowledge/03_Ranking/Delayed-Feedback-Problem/2019 (Twitter) (RecSys) Addressing Delayed Feedback for Continuous Training with Neural Networks in CTR prediction.pdf.
